Brand Name,Total Score Section 1,Total Score Section 2,Total Score Section 3,Total Score Section 4,Total Score Section 5,TOTAL POINTS
Prisma,20.75,6,15,13,8,62.75
Pull&Bear,29.5,8,1,16,36,90.5
Puma,31,11,30,24,31,127
Quiksilver,0.75,0,0,0,0,0.75
Ralph Lauren,23.5,6,1,13,28,71.5
Reebok,30,8,43,23,32,136
REI,16.5,3,11,5,13,48.5
Reliance Trends,11.25,2,0,3,2,18.25
Reserved,17,3,1,3,14,38
REVOLVE,0.5,4,0,1,0,5.5
River Island,21,5,19,9,1,55
Ross Dress for Less,8.25,0,0,6,1,15.25
Roxy,0.75,0,0,0,0,0.75
Russell Athletic,21,4,26,13,21,85
s.Oliver,18,1,1,2,5,27
Sainsbury's,22.75,10,48,14,26,120.75
SAINT LAURENT,28,11,8,21,39,107
Saks Fifth Avenue,16,2,7,7,1,33
Salvatore Ferragamo,22.25,8,1,12,20,63.25
Sandro,13,1,0,4,4,22
Semir,0.5,0,0,0,0,0.5
SHEIN,2.5,0,0,0,0,2.5
Skechers,12.25,2,1,4,1,20.25
Speedo,27.25,10,44,14,36,131.25
Splash,9.75,3,0,2,8,22.75
Sports Direct,7.25,1,0,0,4,12.25
Steve Madden,16.75,2,0,8,7,33.75
Stradivarius,29.5,8,1,16,35,89.5
Superdry,26.25,8,1,10,34,79.25
Takko,11.25,0,4,8,6,29.25
Target,29.25,4,24,22,26,105.25
Target Australia,28.25,8,41,25,37,139.25
Tchibo,28.5,9,38,19,39,133.5
Ted Baker,18,2,19,4,10,53
Tesco,27.75,6,24,11,15,83.75
Tezenis,13.75,4,0,0,9,26.75
The Children's Place,15,0,0,5,3,23
The North Face,30.25,8,62,25,39,164.25
The Warehouse,27,4,18,10,9,68
Timberland,30.25,8,62,25,39,164.25
TJ Maxx,17.5,4,0,4,7,32.5
Tod's,11,5,0,7,11,34
Tom Ford,0.5,0,0,0,0,0.5
Tom Tailor,21.75,4,51,14,15,105.75
Tommy Bahama,9,0,0,3,2,14
Tommy Hilfiger,29.5,6,53,24,35,147.5
Topman,20.75,2,31,8,6,67.75
Topshop,20.75,2,31,8,6,67.75
TOPVALU COLLECTION,21,1,0,9,10,41
Tory Burch,1,0,0,0,0,1
Triumph,7.5,0,0,7,0,14.5
Truworths,15.5,2,0,4,5,26.5
UGG,22.25,4,72,11,27,136.25
Under Armour,16.75,3,18,10,6,53.75
Uniqlo,28.25,6,24,20,27,105.25
United Arrows,13.75,0,0,3,5,21.75
United Colors of Benetton,30.25,6,63,19,31,149.25
Urban Outfitters,13.25,4,0,7,15,39.25
Valentino,10.25,2,0,6,2,20.25
Van Heusen,29.5,6,53,24,35,147.5
Vans,30.25,8,62,25,37,162.25
Vero Moda,21,4,19,7,13,64
Versace,19,4,1,8,7,39
Very,23,2,15,8,9,57
Victoria's Secret,19,2,19,10,4,54
Walmart,25.25,8,1,15,15,64.25
Woolworths South Africa,23,8,1,10,19,61
Wrangler,24.5,3,34,5,19,85.5
Youngor,0,0,0,0,0,0
Zalando,27.25,7,37,13,28,112.25
Zara,29.5,8,1,16,35,89.5
Zeeman,23,7,31,14,19,94
